[header]
width=50
height=50
tilewidth=32
tileheight=32

[tilesets]
tileset=../../../Users/Markus/Pictures/tilea2.png,32,32,0,0

[layer]
type=Kachelebene 1
data=
21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,
37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,
21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,
37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,
21,22,21,22,21,22,69,70,69,70,69,70,21,22,69,70,69,70,69,70,21,22,69,70,69,70,69,70,21,22,69,70,21,22,21,22,21,22,69,70,21,22,69,70,69,70,69,70,21,22,
37,38,37,38,37,38,85,86,85,86,85,86,37,38,85,86,85,86,85,86,37,38,85,86,85,86,85,86,37,38,85,86,37,38,37,38,37,38,85,86,37,38,85,86,85,86,85,86,37,38,
21,22,21,22,21,22,69,70,21,22,21,22,21,22,69,70,21,22,21,22,21,22,69,70,21,22,69,70,21,22,69,70,69,70,21,22,69,70,69,70,21,22,69,70,21,22,21,22,21,22,
37,38,37,38,37,38,85,86,37,38,37,38,37,38,85,86,37,38,37,38,37,38,85,86,37,38,85,86,37,38,85,86,85,86,37,38,85,86,85,86,37,38,85,86,37,38,37,38,37,38,
21,22,21,22,21,22,69,70,69,70,69,70,21,22,69,70,21,22,69,70,21,22,69,70,69,70,69,70,21,22,69,70,21,22,69,70,21,22,69,70,21,22,69,70,69,70,69,70,21,22,
37,38,37,38,37,38,85,86,85,86,85,86,37,38,85,86,37,38,85,86,37,38,85,86,85,86,85,86,37,38,85,86,37,38,85,86,37,38,85,86,37,38,85,86,85,86,85,86,37,38,
21,22,21,22,21,22,21,22,21,22,69,70,21,22,69,70,21,22,69,70,21,22,69,70,21,22,69,70,21,22,69,70,21,22,21,22,21,22,69,70,21,22,69,70,21,22,21,22,21,22,
37,38,37,38,37,38,37,38,37,38,85,86,37,38,85,86,37,38,85,86,37,38,85,86,37,38,85,86,37,38,85,86,37,38,37,38,37,38,85,86,37,38,85,86,37,38,37,38,37,38,
21,22,21,22,21,22,69,70,69,70,69,70,21,22,69,70,69,70,69,70,21,22,69,70,21,22,69,70,21,22,69,70,21,22,21,22,21,22,69,70,21,22,69,70,69,70,69,70,21,22,
37,38,37,38,37,38,85,86,85,86,85,86,37,38,85,86,85,86,85,86,37,38,85,86,37,38,85,86,37,38,85,86,37,38,37,38,37,38,85,86,37,38,85,86,85,86,85,86,37,38,
21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,
37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,
21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,
